id_resto,customer_rating,customer_comment,customer_rating_date
1,5.0,Can't wait to go back!View more,"Dec 23, 2024"
1,2.0,Beaucoup trop cher pour ce que c'est.View more,"Dec 15, 2024"
1,5.0,First time here & it didn't disappoint. Shared several appetizers & one main dish followed by the cookie dessert & every dish was wow!! It was also $1 oyster night. Every dish was to perfection. Highly recommend this little gem. Angelo & his staff are top!! Dishes & cutlery were changed at every dish. A definite repeat.View more,"Dec 10, 2024"
1,4.0,Bon souper haut de gamme au bar devant l'écran pour la game du Canadien. On nous offre un limoncello en apportant la facture. Très belle attention. Le propriétaire était sur place les 4 fois où nous avons souper à ce restaurant. On sent une ambiance spéciale. On reviendra.View more,"Dec 9, 2024"
1,5.0,"Great food, great service. The owner really makes sure you enjoy your night. You don't see that hospitality anymore. Must returnView more","Dec 7, 2024"
1,5.0,"It was a great culinary experience. The oysters were just the right size. The croquette was out of this world. Le Médaillon was just ""melt in your mouth."" Tartare was not your typical & the lobster roll shrimp was plentiful & bun was homemade & just the perfect size! & the dessert - don't get me started! A definite repeat! - Dora (aka Karen)View more","Dec 5, 2024"
1,5.0,Great variety & great foodView more,"Nov 28, 2024"
1,3.0,"Food is good. We had fish & chips, lobster rolls, calamari, oysters, steak, & tartare. I've been here about 3 times over the past 2 years. Portions are getting smaller. It's expensive. Service is a bit'hit & miss'. Starts off good & then they tend to forget you. I like the atmosphere. Average place. You could do a lot better however you most certainly can do a lot worst.View more","Nov 28, 2024"
1,5.0,"Le lieu, la nourriture, Angelo & son équipe ✨✨✨✨✨ rien à dire ! This is the place ♥️View more","Nov 22, 2024"
1,5.0,This is one of my favorite restaurants. My friends organized a surprise party dinner the food was delicious & the service was amazing & super accommodating with our decorations !View more,"Nov 16, 2024"
1,5.0,Excellent service & plats délicieux ! Tout était parfait du début à la fin. Je recommande fortement cet endroit pour une expérience exceptionnelle. The best of the best ✨View more,"Nov 16, 2024"
1,5.0,The food is simply amazing & the staff goes above & beyond to make you feel welcome. Especially Hyba & Despina who are always smiling. Thank you to the amazing boss Angelo.View more,"Nov 15, 2024"
1,5.0,"Amazing food, great staff overall a wonderful place to go to. Don't miss out!! The staff Hyba & Despina etc are just the best including the owner Angelo very friendly, welcoming & attentive 🥰View more","Nov 15, 2024"
1,5.0,Enjoyed very much the meal & the atmosphere. We had a preset menu .View more,"Nov 9, 2024"
1,5.0,"Excellent service, excellente nourriture, très belle découverte. Peut être bruyant les soirées occupées mais on nous a bien gentiment déplacer à un endroit un peu plus calme, ce qui fut très apprécié.View more","Nov 9, 2024"
1,5.0,"The best restaurant ever, Despina & Angelo make you feel right at home. The price & the quality & quantity of the food are amazing, I want to keep coming over & over again! I recommend it to all! Thank you.View more","Nov 2, 2024"
1,5.0,"Loved food, service & ambience!!View more","Oct 19, 2024"
1,5.0,Love love loveView more,"Oct 13, 2024"
1,5.0,"Very good spot for a diner with friends, Family or just a dine out experience ! Very friendly staff, very good food & atmosphere! A must to try & a benediction for this neighborhood!View more","Oct 10, 2024"
1,5.0,Nous avons passé une très belle soirée sur la terrasse du Greasy Spoon! Comme c'était un peu frais... le chauffe-terrasse a été activé. Que dire du super service de Despina :)View more,"Sep 29, 2024"
